年份,情景,上下限制度,是否模型默认,有关入息下限_港元每月,有关入息上限_港元每月,上下限生效说明,雇员强制费率,雇主强制费率,强积金覆盖率,劳动年龄人口_万人,劳动参与率,就业率,缴费人数_万人,平均有关入息_港元每月,年强制性供款_亿港元,自愿性供款占比,年自愿性供款_亿港元,年总供款_亿港元,取消对冲生效日,取消对冲处理,校准锚点说明,真实或假设,来源或假设
2036,中,现行_对照,否,7100,30000,现行条例7100/30000（约2013/2014年起），作对照情景,0.05,0.05,0.85,444.219,0.565,0.97,238.3793,24862.5,711.2,0.26,249.88,961.09,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2037,中,拟调整_默认,是,10500,40000,模型默认采用拟调整值10500/40000（积金局检讨/劳顾会咨询口径；尚未立法）,0.05,0.05,0.85,441.5702,0.5635,0.97,236.3288,30453.1,863.63,0.26,303.44,1167.07,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2037,中,现行_对照,否,7100,30000,现行条例7100/30000（约2013/2014年起），作对照情景,0.05,0.05,0.85,441.5702,0.5635,0.97,236.3288,25608.3,726.24,0.26,255.16,981.4,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2038,中,拟调整_默认,是,10500,40000,模型默认采用拟调整值10500/40000（积金局检讨/劳顾会咨询口径；尚未立法）,0.05,0.05,0.85,438.6861,0.562,0.97,234.1602,31366.7,881.38,0.26,309.67,1191.06,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2038,中,现行_对照,否,7100,30000,现行条例7100/30000（约2013/2014年起），作对照情景,0.05,0.05,0.85,438.6861,0.562,0.97,234.1602,26376.6,741.16,0.26,260.41,1001.57,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2039,中,拟调整_默认,是,10500,40000,模型默认采用拟调整值10500/40000（积金局检讨/劳顾会咨询口径；尚未立法）,0.05,0.05,0.85,435.5683,0.5605,0.97,231.8755,32307.7,898.96,0.26,315.85,1214.82,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2039,中,现行_对照,否,7100,30000,现行条例7100/30000（约2013/2014年起），作对照情景,0.05,0.05,0.85,435.5683,0.5605,0.97,231.8755,27167.9,755.95,0.26,265.6,1021.55,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2040,中,拟调整_默认,是,10500,40000,模型默认采用拟调整值10500/40000（积金局检讨/劳顾会咨询口径；尚未立法）,0.05,0.05,0.85,432.2186,0.559,0.97,229.4765,33277.0,916.35,0.26,321.96,1238.32,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2040,中,现行_对照,否,7100,30000,现行条例7100/30000（约2013/2014年起），作对照情景,0.05,0.05,0.85,432.2186,0.559,0.97,229.4765,27982.9,770.57,0.26,270.74,1041.31,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2041,中,拟调整_默认,是,10500,40000,模型默认采用拟调整值10500/40000（积金局检讨/劳顾会咨询口径；尚未立法）,0.05,0.05,0.85,428.6386,0.5575,0.97,226.9651,34275.3,933.52,0.26,327.99,1261.51,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2041,中,现行_对照,否,7100,30000,现行条例7100/30000（约2013/2014年起），作对照情景,0.05,0.05,0.85,428.6386,0.5575,0.97,226.9651,28500.0,776.22,0.26,272.73,1048.95,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2042,中,拟调整_默认,是,10500,40000,模型默认采用拟调整值10500/40000（积金局检讨/劳顾会咨询口径；尚未立法）,0.05,0.05,0.85,425.4602,0.556,0.97,224.676,35303.5,951.82,0.26,334.42,1286.25,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2042,中,现行_对照,否,7100,30000,现行条例7100/30000（约2013/2014年起），作对照情景,0.05,0.05,0.85,425.4602,0.556,0.97,224.676,28500.0,768.39,0.26,269.98,1038.37,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2043,中,拟调整_默认,是,10500,40000,模型默认采用拟调整值10500/40000（积金局检讨/劳顾会咨询口径；尚未立法）,0.05,0.05,0.85,421.9905,0.5545,0.97,222.2425,36362.6,969.76,0.26,340.73,1310.49,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2043,中,现行_对照,否,7100,30000,现行条例7100/30000（约2013/2014年起），作对照情景,0.05,0.05,0.85,421.9905,0.5545,0.97,222.2425,28500.0,760.07,0.26,267.05,1027.12,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2044,中,拟调整_默认,是,10500,40000,模型默认采用拟调整值10500/40000（积金局检讨/劳顾会咨询口径；尚未立法）,0.05,0.05,0.85,418.2308,0.553,0.97,219.6666,37453.5,987.27,0.26,346.88,1334.16,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2044,中,现行_对照,否,7100,30000,现行条例7100/30000（约2013/2014年起），作对照情景,0.05,0.05,0.85,418.2308,0.553,0.97,219.6666,28500.0,751.26,0.26,263.96,1015.22,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2045,中,拟调整_默认,是,10500,40000,模型默认采用拟调整值10500/40000（积金局检讨/劳顾会咨询口径；尚未立法）,0.05,0.05,0.85,414.1823,0.5515,0.97,216.9502,38000.0,989.29,0.26,347.59,1336.88,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2045,中,现行_对照,否,7100,30000,现行条例7100/30000（约2013/2014年起），作对照情景,0.05,0.05,0.85,414.1823,0.5515,0.97,216.9502,28500.0,741.97,0.26,260.69,1002.66,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2046,中,拟调整_默认,是,10500,40000,模型默认采用拟调整值10500/40000（积金局检讨/劳顾会咨询口径；尚未立法）,0.05,0.05,0.85,409.8464,0.55,0.97,214.0951,38000.0,976.27,0.26,343.02,1319.29,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2046,中,现行_对照,否,7100,30000,现行条例7100/30000（约2013/2014年起），作对照情景,0.05,0.05,0.85,409.8464,0.55,0.97,214.0951,28500.0,732.21,0.26,257.26,989.47,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2047,中,拟调整_默认,是,10500,40000,模型默认采用拟调整值10500/40000（积金局检讨/劳顾会咨询口径；尚未立法）,0.05,0.05,0.85,405.3807,0.5485,0.97,211.1848,38000.0,963.0,0.26,338.35,1301.36,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2047,中,现行_对照,否,7100,30000,现行条例7100/30000（约2013/2014年起），作对照情景,0.05,0.05,0.85,405.3807,0.5485,0.97,211.1848,28500.0,722.25,0.26,253.76,976.02,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2048,中,拟调整_默认,是,10500,40000,模型默认采用拟调整值10500/40000（积金局检讨/劳顾会咨询口径；尚未立法）,0.05,0.05,0.85,400.7464,0.547,0.97,208.1996,38000.0,949.39,0.26,333.57,1282.96,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2048,中,现行_对照,否,7100,30000,现行条例7100/30000（约2013/2014年起），作对照情景,0.05,0.05,0.85,400.7464,0.547,0.97,208.1996,28500.0,712.04,0.26,250.18,962.22,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2049,中,拟调整_默认,是,10500,40000,模型默认采用拟调整值10500/40000（积金局检讨/劳顾会咨询口径；尚未立法）,0.05,0.05,0.85,395.9422,0.5455,0.97,205.1396,38000.0,935.44,0.26,328.67,1264.1,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2049,中,现行_对照,否,7100,30000,现行条例7100/30000（约2013/2014年起），作对照情景,0.05,0.05,0.85,395.9422,0.5455,0.97,205.1396,28500.0,701.58,0.26,246.5,948.08,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2050,中,拟调整_默认,是,10500,40000,模型默认采用拟调整值10500/40000（积金局检讨/劳顾会咨询口径；尚未立法）,0.05,0.05,0.85,390.9672,0.544,0.97,202.005,38000.0,921.14,0.26,323.64,1244.79,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2050,中,现行_对照,否,7100,30000,现行条例7100/30000（约2013/2014年起），作对照情景,0.05,0.05,0.85,390.9672,0.544,0.97,202.005,28500.0,690.86,0.26,242.73,933.59,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2051,中,拟调整_默认,是,10500,40000,模型默认采用拟调整值10500/40000（积金局检讨/劳顾会咨询口径；尚未立法）,0.05,0.05,0.85,385.8203,0.5425,0.97,198.7961,38000.0,906.51,0.26,318.5,1225.01,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2051,中,现行_对照,否,7100,30000,现行条例7100/30000（约2013/2014年起），作对照情景,0.05,0.05,0.85,385.8203,0.5425,0.97,198.7961,28500.0,679.88,0.26,238.88,918.76,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2052,中,拟调整_默认,是,10500,40000,模型默认采用拟调整值10500/40000（积金局检讨/劳顾会咨询口径；尚未立法）,0.05,0.05,0.85,381.0979,0.541,0.97,195.8199,38000.0,892.94,0.26,313.74,1206.67,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2052,中,现行_对照,否,7100,30000,现行条例7100/30000（约2013/2014年起），作对照情景,0.05,0.05,0.85,381.0979,0.541,0.97,195.8199,28500.0,669.7,0.26,235.3,905.01,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2053,中,拟调整_默认,是,10500,40000,模型默认采用拟调整值10500/40000（积金局检讨/劳顾会咨询口径；尚未立法）,0.05,0.05,0.85,376.2386,0.5395,0.97,192.787,38000.0,879.11,0.26,308.88,1187.98,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2053,中,现行_对照,否,7100,30000,现行条例7100/30000（约2013/2014年起），作对照情景,0.05,0.05,0.85,376.2386,0.5395,0.97,192.787,28500.0,659.33,0.26,231.66,890.99,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2054,中,拟调整_默认,是,10500,40000,模型默认采用拟调整值10500/40000（积金局检讨/劳顾会咨询口径；尚未立法）,0.05,0.05,0.85,371.2388,0.538,0.97,189.6962,38000.0,865.01,0.26,303.92,1168.94,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2054,中,现行_对照,否,7100,30000,现行条例7100/30000（约2013/2014年起），作对照情景,0.05,0.05,0.85,371.2388,0.538,0.97,189.6962,28500.0,648.76,0.26,227.94,876.7,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2055,中,拟调整_默认,是,10500,40000,模型默认采用拟调整值10500/40000（积金局检讨/劳顾会咨询口径；尚未立法）,0.05,0.05,0.85,366.0947,0.5365,0.97,186.5461,38000.0,850.65,0.26,298.88,1149.53,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2055,中,现行_对照,否,7100,30000,现行条例7100/30000（约2013/2014年起），作对照情景,0.05,0.05,0.85,366.0947,0.5365,0.97,186.5461,28500.0,637.99,0.26,224.16,862.15,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2056,中,拟调整_默认,是,10500,40000,模型默认采用拟调整值10500/40000（积金局检讨/劳顾会咨询口径；尚未立法）,0.05,0.05,0.85,360.8022,0.535,0.97,183.3352,38000.0,836.01,0.26,293.73,1129.74,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2056,中,现行_对照,否,7100,30000,现行条例7100/30000（约2013/2014年起），作对照情景,0.05,0.05,0.85,360.8022,0.535,0.97,183.3352,28500.0,627.01,0.26,220.3,847.31,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
2026,高,拟调整_默认,是,10500,40000,模型默认采用拟调整值10500/40000（积金局检讨/劳顾会咨询口径；尚未立法）,0.05,0.05,0.85,464.21,0.6,0.97,280.4107,22000.0,740.28,0.26,260.1,1000.38,2025-05-01,[真实数据] 2025-05-01起雇主强制供款不得对冲转制后服务年资遣散费/长服金；本表以参数记录断点，量化漏损衰减见领取/资产层,[真实数据] 2025-26财年总供款912.3亿；自愿占比约26%；2026Q2总供款234.0亿；覆盖率85%为[假设],混合,[混合] 费率与现行/拟议上下限为制度/公开检讨锚点；缴费人数=劳动人口×LFPR×就业×覆盖[假设路径]；平均入息与人数经总供款量级校准；人口来自队列成分法
